track_id,artist,title,album,total_genres
7f1ded06f20532cd7c6a92878bc686b5,03 Thirty,Five Thousand Feet of Dispair (sln 2010 stereo),,0
a2eea26f9a53faa71a133679e866193c,1986 Omega Tribe,Cosmic Love,"Pacific Breeze 3: Japanese City Pop, AOR & Boogie 1975-1986",0
ac47e78fdf49cb534b8153b226b386f6,@,"Are You There God? It's Me, @","Are You There God? It's Me, @",0
780553a3e0c7e8ee15e9651e9e28c28d,@,Odor In The Court,"Are You There God? It's Me, @",0
c871e8fce61847b86ff28d095743026e,@,Processional,"Are You There God? It's Me, @",0
c1f3cc003deeda64ecbc7900292b0b32,@,Soul Hole,"Are You There God? It's Me, @",0
b0687835cf9fae9aa30d2be5dc5a1f10,@,Webcrawler,"Are You There God? It's Me, @",0
224ed30a745a4d4340710fd89caf9c51,@,Boxwood Lane,Mind Palace Music,0
a4018b11f2727cae6d25271d5e22e1b1,@,Camera Phone,Mind Palace Music,0
42c7d1d8d7a387450a0d0d1f3dbb1915,@,Cut From Toxic Cloth,Mind Palace Music,0
f75591e9c3f3c812632230997b01bbb6,@,First Journal,Mind Palace Music,0
27d00d498509d6bdf0bd8cad5334206c,@,Friendship is Frequency,Mind Palace Music,0
94a6cd3e98878edc43257b3cf5912833,@,Letters,Mind Palace Music,0
88ccb1676a3379d38b3cdf08eb6ee51b,@,Major Blue Empty,Mind Palace Music,0
91923222d4f97301aed781f866235fcb,@,My Garden,Mind Palace Music,0
30dbd482db9335f67f5f68231f15e601,@,Parapet,Mind Palace Music,0
72da461d0fbdbe4a5e01b7570595f3d6,@,Star Game,Mind Palace Music,0
3e454d92d0762f005c4587f4fe7e3aca,@,Where'd You Put Me,Mind Palace Music,0
b5a0153da368d9eb4ac38bdf3cba85fc,A Positive Life,The Calling (Loved'Ub Mix),"Virtual Dreams: Ambient Explorations In The House & Techno Age, 1993-1997",0
43516659fd77c205b0bf0e7d416335ee,"AV María, Sky, & Belina Rose",Querube,TRANSA,0
4338f63b25eb91abb1791dfe1047b4a2,Aborted at Line 6,Mammuth (Extended Version),Intenta: Experimental & Electronic Music from Switzerland 1981-93,0
81848161131fdb1cdf06d3c79bc1a68f,Admiral Dele Abiodun & His Top Hitters International,It's Time For Juju Music,"Nigeria 70 - Sweet Times - Afro-Funk, Highlife & Juju From 1970s Lagos",0
5561c8f3e1f9b3e904fefcb8bac44c44,Afro Cult Foundation,The Quest,Nigeria 70: The Definitive Story of 1970s Funky Lagos,0
4df6c7e08fc42b71fcbe0a711bb5a0aa,Air Project ,Rap Yourself,Intenta: Experimental & Electronic Music from Switzerland 1981-93,0
