pos,track_id,artist_key,artist,title,seed_sim,local_sim_segment,local_sim_hybrid,local_sim_used,step_score,alpha_t_used,repair_applied,repair_iters_used
1,7305910d5b671643582fc8b66e3c1e6a,kurt vile,Kurt Vile,Cold Was The Wind,1.0,nan,nan,nan,1.0,0.55,0,0
2,a4e4f8995c784d6ecfba474ae7b5e805,mount eerie,Mount Eerie,Sauna,0.608025796173935,0.7242722114562892,0.6080257961735877,0.7242722114562892,0.8618909670284828,0.5383449883449883,0,0
3,d9b05ee76d4993016cb99d3fc2a870c7,krill,Krill,Squirrels,0.626280141105838,0.8513445506624414,0.8464285828735868,0.8513445506624414,0.940662203317894,0.5266899766899767,0,0
4,e4defe526d88aeb369a428ba7f86dd30,the microphones,The Microphones,Drums and Bass,0.6263830567862958,0.7530404053836846,0.5136386876474267,0.7530404053836846,0.874433418980635,0.515034965034965,0,0
5,b4ed22240e21f6ce52d7ea24f330de37,spirit of the beehive,SPIRIT OF THE BEEHIVE,human debenture,0.588601017763784,0.7653613200700576,0.5839186493386779,0.7653613200700576,0.8555067449233613,0.5033799533799534,0,0
6,2a47d924e4382aa7c564755c29f7b282,the spirit of the beehive,The Spirit of the Beehive,White Weekend,0.5493154649681636,0.8307080397768772,0.7250843450705956,0.8307080397768772,0.8685369388662058,0.49172494172494174,0,0
7,04f933a5a0498b96a0bbf39ecaccc995,pavement,Pavement,"Fame Throwa [Live Brixton Academy, Dec. 14, 1992]",0.623456811958944,0.759696879995468,0.7782612077086224,0.759696879995468,0.8551209961160325,0.4800699300699301,0,0
8,ec545e5f7ba14888abe6be1fe4bb9d9f,interpol,Interpol,"Take You on a Cruise (Live at Palacio de los Deportes, Mexico City, 2005)",0.5175926689286544,0.8018645315179751,0.7800430570505791,0.8018645315179751,0.8235668466991606,0.46841491841491845,0,0
9,91a2066611f34c4d1a5ea8073d65aca1,fugazi,Fugazi,Brendan #1,0.48860333669182276,0.8480773387064969,0.7013371302053415,0.8480773387064969,0.8320208177338345,0.4567599067599068,0,0
10,beffcd0df57dea9b26491f410b3e1b21,blue smiley,blue smiley,control,0.5453371965440886,0.8353553844350345,0.6979893708683623,0.8353553844350345,0.8439454863255749,0.44510489510489515,0,0
